Timer,State,InteractionTorque,Angle,MotorTorque,HumanTorque
0.033430858,flexion,0.0,0.0,0,0.0
0.066791692,flexion,0.0,0.0,0,0.0
0.10019082,flexion,0.0,0.0,0,0.0
0.133465301,flexion,0.0,0.0,0,0.0
0.166784637,flexion,0.0,0.0,0,-23.530913811803902
0.20019215,flexion,0.0,0.0,0,-11.37429615105454
0.233466621,flexion,0.0,0.0,0,-4.696529672709827
0.266796046,flexion,0.0,0.0,0,-2.5148334051993007
0.300219018,flexion,0.0,0.0,0,-1.1538095270410555
0.333482569,flexion,0.0,0.0,0,0.28045094881070765
0.366793769,flexion,0.0,0.0,0,1.3505447608698196
0.400212384,flexion,0.0,0.0,0,1.2607600580511948
0.433507854,flexion,0.0,0.0,0,1.654740058161623
0.466753761,flexion,0.0,0.0,0,3.598562767003166
0.500213002,flexion,0.0,0.0,0,4.685742653053004
0.533469539,flexion,0.0,0.0,0,6.147733820488827
0.566746435,flexion,0.0,0.0,0,6.749634408897254
0.600117198,flexion,0.0,0.0,0,7.581242564375332
0.633459848,flexion,0.0,0.0,0,8.213237100906552
0.666902578,flexion,0.0,0.0,0,8.814504248934094
0.700254386,flexion,0.0,0.0,0,9.112144199338283
0.733480335,flexion,0.0,0.0,0,9.095946786465925
0.766932893,flexion,0.0,0.0,0,9.148008305811175
0.800261998,flexion,0.0,0.0,0,8.938552469271606
0.833523224,flexion,0.0,0.0,0,8.503174278712903
0.866795981,flexion,0.0,0.0,0,8.044720230150734
0.90018512,flexion,0.0,0.0,0,7.740609901126804
0.933459991,flexion,0.0,0.0,0,7.149335869387589
0.966791049,flexion,0.0,0.0,0,6.43438031919014
1.000183464,flexion,0.0,0.0,0,5.741169490543414
1.033524101,flexion,0.0,0.0,0,5.440975765972699
1.066790796,flexion,0.0,0.0,0,4.818612217480558
1.100329499,flexion,0.0,0.0,0,4.206282772263375
1.133468553,flexion,0.0,0.0,0,3.636865479967409
1.166799,flexion,0.0,0.0,0,3.126001067179031
1.200217794,flexion,0.0,0.0,0,2.7319512532771957
1.233464042,flexion,0.0,0.0,0,2.356433490613245
1.266792164,flexion,0.0,0.0,0,2.0032159504330678
1.300201701,flexion,0.0,0.0,0,1.718018311445785
1.33347518,flexion,0.0,0.0,0,1.5775454928722101
