,Unnamed: 0,State,Angle,Range_0,Range_1,New_Range_0,New_Range_1,Filtered_New_Range_0,Filtered_New_Range_1,Angle_int,Motion
41,41,Flexion,105,-4.505118719,-1.904233653,-5.177825592,-1.621995976479524,-4.860662183905062,-2.0978190809110666,105,32.325
42,42,Flexion,104,-4.422105644,-3.008487781,-4.543742438,-2.229892320419673,-4.816086941052767,-2.7522909694550868,104,32.756
43,43,Flexion,103,-4.324464926,-4.790462625,-4.915960389,-4.790462625,-4.792546426235354,-3.210785884806829,103,33.187
44,44,Flexion,101,-4.34138353,-2.557331147,-4.80449787,-1.7813004275531792,-4.810918521553829,-3.095773566431974,101,34.049
45,45,Flexion,100,-4.605301375,-3.880736412,-4.827515607,-3.349307270413927,-4.865499543058366,-2.677888514341985,100,34.48
46,46,Flexion,98,-4.488813716,-2.33696399,-4.898713474,-1.8556597776116324,-4.946005003705412,-2.2763697457651877,98,35.342
47,47,Flexion,97,-4.553690026,-3.11938771,-5.201738006,-2.2839861881212333,-5.007337634049649,-1.9360929757837715,97,35.773
48,48,Flexion,95,-4.478096456,-2.282534155,-4.740688959,-1.313951524399704,-5.020043439014515,-1.669362071083729,95,36.635
49,49,Flexion,94,-4.702050192,-2.946719597,-5.26427781,-2.13472123149487,-4.9833125321175675,-1.5539735635942766,94,37.066
50,50,Flexion,92,-4.365424928,-1.636861398,-4.790654819,-1.1352431639518061,-4.912104536134738,-1.8047755016031903,92,37.928
51,51,Flexion,91,-4.584398725,-2.90340507,-4.890398106,-2.0923861775930637,-4.896777910676525,-2.459747807752453,91,38.359
52,52,Flexion,90,-4.409602465,-4.47509936,-4.787027357,-4.47509936,-4.9949215751077,-2.9900989951327794,90,38.79
53,53,Flexion,88,-4.660858428,-2.468878658,-5.404663902,-1.622518798002882,-5.06055515672664,-2.952882797489703,88,39.652
54,54,Flexion,87,-4.349098701,-3.792857792,-4.892461983,-3.396767483121224,-4.931760631048265,-2.5460932841471973,87,40.083
55,55,Flexion,85,-4.064371707,-2.19717998,-4.560600497,-1.5291763974391195,-4.70452349966028,-2.088583557016985,85,40.945
56,56,Flexion,84,-4.526057501,-2.92178255,-4.550764785,-2.0787864811607046,-4.569186667733102,-1.726950366295188,84,41.376
57,57,Flexion,82,-4.286653848,-1.665301189,-4.74348979,-1.1645288395860347,-4.558555976919368,-1.5380503271579402,82,42.238
58,58,Flexion,81,-4.055677164,-2.794653223,-4.404410651,-1.9809383267023164,-4.642935106728107,-1.5142254033615592,81,42.669
59,59,Flexion,79,-4.321946541,-1.326273262,-4.957642643,-1.326273262,-4.815053688712938,-1.680966523194801,79,43.531
60,60,Flexion,78,-4.205590279,-2.542674717,-4.891054883,-1.6909519901989882,-4.998764900143332,-2.034659754825323,78,43.962
61,61,Flexion,77,-4.726472309,-3.686621473,-5.269612589,-3.278379360964658,-5.0759115021971715,-2.287748352621731,77,44.393
62,62,Flexion,75,-4.510252394,-2.145575002,-4.938824579,-1.2608395843626106,-5.030946600491719,-2.164962153374245,75,45.255
63,63,Flexion,74,-4.306728712,-3.152925406,-4.853955998,-2.534200936400281,-4.9597018660492385,-1.7704157491765165,74,45.686
64,64,Flexion,72,-4.530075285,-1.564052355,-5.080846625,-0.6673015973989324,-4.917523131705448,-1.3625758666387626,72,46.548
65,65,Flexion,71,-4.137703248,-2.59430186,-4.756861686,-1.8363440149735768,-4.881553099687917,-1.1589817103616407,71,46.979
66,66,Flexion,69,-4.577442487,-1.29840299,-4.900039144,-0.6811100622932691,-4.837035510088607,-1.375594609694689,69,47.841
67,67,Flexion,68,-4.117216234,-2.302644155,-4.792527955,-1.5067804816191015,-4.785498779833135,-1.9118106811674032,68,48.272
68,68,Flexion,67,-4.180676219,-3.740221856,-4.786055252,-3.7402218559999993,-4.756426074059391,-2.07871856977723,67,48.703
69,69,Flexion,66,-3.986999772,-0.561670011,-4.69840898,-0.561670011,-4.824436726886455,-1.5120019128858706,66,49.134
70,70,Flexion,65,-4.124694738,-1.743798822,-4.720090567,-0.9106869199709463,-4.937914841908561,-0.9187292572562777,65,49.565
71,71,Flexion,64,-4.012158598,-1.501892281,-4.618594352,-0.6769017280424506,-4.62497233620023,-1.0447053457648692,64,49.996
72,72,Flexion,63,-4.211068235,-2.501889154,-4.7805364,-1.9855179619417234,-3.31780957984511,-1.6966095064191298,63,50.0
73,73,Extension,63,-0.225466942,-2.134590426,0.029350735084905377,-2.680062594,-1.3938164150311025,-2.2377102637634083,63,50.0
74,74,Extension,64,-0.327346147,-1.187813933,0.052487353082539934,-1.888481283,-0.005627609058947658,-2.441140616129346,64,50.427
75,75,Extension,66,-0.312953201,-2.518609001,0.054447160468462374,-2.889050327,0.41047919803860117,-2.524659485570393,66,51.289
76,76,Extension,67,-0.289169913,-1.631605946,0.44416474789420174,-2.331817139,0.32922537307046723,-2.6680460507835027,67,51.72
77,77,Extension,69,-0.433299011,-3.064135773,0.09688797575995334,-3.081547637,0.19280738183433027,-2.8557393511448135,69,52.582
78,78,Extension,70,-0.099649098,-2.169012973,0.17758560815145957,-2.897380072,0.15448450993067417,-2.988489858742721,70,53.013
79,79,Extension,73,0.034752601,-2.638999492,0.1091411800378903,-3.359130379,0.22853550627917507,-3.054644657440223,73,54.306
80,80,Extension,74,-0.336782149,-1.73592504,0.5448660151896378,-2.509628093,0.3220049326232274,-3.196263631856552,74,54.737
81,81,Extension,76,-0.307576422,-3.28464244,0.13941335681200911,-4.035154854,0.33519043051870256,-3.4293380552243073,76,55.599
82,82,Extension,77,-0.061127935,-2.710613919,0.4221200435115453,-3.416725099,0.24538323652490207,-3.5687530066165642,77,56.03
83,83,Extension,80,-0.835573532,-2.84072423,-0.04172950663730168,-3.52369997,0.080591100848901,-3.5773693073480066,80,57.323
84,84,Extension,83,-0.597503125,-2.800888091,0.04467363481225273,-3.457455921,-0.09048330655021071,-3.559519908676692,83,58.616
85,85,Extension,86,-1.473565881,-3.16237148,-0.3887125719828144,-3.804286498,-0.17117848158552476,-3.5001576236512593,86,59.909
86,86,Extension,87,-0.668021809,-2.524166893,0.005606079536704667,-3.126827387,-0.13049230083115096,-3.379880896597624,87,60.34
87,87,Extension,90,-0.77935466,-2.71569717,-0.1116818655931423,-3.327005061,-0.05003529854492396,-3.2878884383396527,90,61.633
88,88,Extension,93,-0.504379374,-2.678649681,0.08943872231450023,-3.277457941,-0.025390706650737963,-3.2516371713719403,93,62.926
89,89,Extension,96,-0.527476587,-2.720495413,-0.15363321371701583,-3.367749812,-0.061747455255380154,-3.2330041303336383,96,64.219
90,90,Extension,97,-0.335910046,-2.281509607,-0.0977591994715149,-2.852391779,-0.10382602111866869,-3.24962008125648,97,64.65
91,91,Extension,99,-0.847922699,-3.250940491,-0.14787970552502383,-3.749315043,-0.13577043311894116,-3.2738234039411975,99,65.512
92,92,Extension,100,-0.348663805,-2.450904748,-0.0032320961273363813,-2.988666772,-0.169238589633373,-3.2330860583678662,100,65.943
93,93,Extension,103,-0.991788615,-2.539665835,-0.4827429440679265,-3.161681216,-0.15990550283260757,-3.169920999296435,103,67.236
94,94,Extension,106,-0.949784951,-2.490714728,0.14835124555265344,-3.110209551,-0.09087866170243425,-3.1243638250587105,106,68.529
95,95,Extension,109,-0.434730438,-2.832497304,-0.051317395876308514,-3.468636729,-0.039894872542460116,-3.076292481458792,109,69.822
96,96,Extension,110,-0.344618978,-1.946273457,-0.1113037446836804,-2.257597098,-0.03288426923726997,-3.1056284266333973,110,70.253
97,97,Extension,112,-0.445533358,-3.239028323,-0.08021442433349324,-3.961046992,-0.03749845140736772,-3.1976806513374294,112,71.115
98,98,Extension,113,-0.411167037,-2.307856521,-0.003874709846750146,-2.900151686,-0.11516550095274641,-3.137902958728822,113,71.546
99,99,Extension,116,-0.603959921,-2.288772015,-0.27891867372746837,-2.895875448,-0.34645515581523834,-2.8890348347044106,116,72.839
100,100,Extension,119,-0.492370594,-2.284160163,-0.79966306,-2.910013226,-0.6592015595098649,-2.6976526889855035,119,74.132
101,101,Extension,120,-0.337767209,-1.628893524,-0.785630768,-1.962606277,-0.8850431315497866,-2.778760873290673,120,74.563
102,102,Extension,122,-0.558616389,-3.280171003,-1.15975618,-3.896863753,-0.935773530036521,-2.9875039940743577,122,75.425
103,103,Extension,123,-0.298636844,-2.044359612,-0.725041052,-2.625621601,-0.8965675036717302,-2.9705626801081855,123,75.856
104,104,Extension,126,-0.271127103,-2.07818404,-0.714875582,-2.694165187,-0.9098859772578108,-2.6674322594228954,126,77.149
105,105,Extension,129,-0.508099186,-2.036027435,-1.256059082,-2.670614335,-0.9275512596092175,-2.3470096544757735,129,78.442
106,106,Extension,130,-0.277150624,-0.703176788,-0.792050035,-1.355264258,-0.8082273617037063,-2.29159038249528,130,78.873
107,107,Extension,132,0.170032959,-2.781769717,-0.324133928,-3.396691773,-0.5998031327954326,-2.472180071680345,132,79.735
108,108,Extension,133,-0.26670441,-1.678025246,-0.790354417,-2.299545426,-0.42850224818420707,-2.6072164716772,133,80.166
109,109,Extension,136,0.166195956,-1.862893757,-0.219492637,-2.584135944,-0.38919768599635346,-2.6469347985743705,136,81.459
110,110,Extension,139,0.022930763,-1.793046566,-0.34537992,-2.536239396,-0.6077192067793025,-2.685215732249321,139,82.752
111,111,Extension,142,-0.204717261,-2.45398572,-0.962966442,-3.173871611,-0.9608631512816961,-2.615249492881203,142,84.045
112,112,Extension,143,-0.45762233,-1.251428627,-1.734552774,-1.930466969,-1.0043296674847222,-2.4134724940463377,143,84.476
113,113,Extension,145,0.315105981,-2.039504092,-0.224521976,-2.33783449,-0.6523295271411705,-2.2835063382266063,145,85.338
114,114,Extension,146,0.487620872,-1.614075579,0.240626368,-2.3656772,-0.3325965394444109,-2.285471923796672,146,85.769
115,115,Extension,149,0.243023865,-1.558123148,-0.994412035,-2.275807139,-0.1644664733309072,-2.276761341611563,149,87.062
116,116,Extension,152,0.634018504,-1.640753195,0.286285013,-2.34592563,0.09319012279047825,-2.2112789793714396,152,88.355
117,117,Extension,153,0.766346624,-0.979476166,0.559065042,-1.711765712,0.3308634880137284,-2.1686353559010056,153,88.786
118,118,Extension,155,0.806106227,-2.022208285,0.396005195,-2.578179478,0.2825293180034557,-2.099112040205052,155,89.648
119,119,Extension,156,0.434518738,-1.288602712,-0.238449764,-1.960073709,0.0842100078979881,-1.8919225042680843,156,90.079
120,120,Extension,158,0.713489158,-0.553562128,0.051210414,-1.205649598,0.01911060137546778,-1.7029147211489395,158,90.941
121,121,Extension,159,0.600218562,-1.346935475,0.235769022,-1.991514131,0.09583134228113746,-1.727777612201788,159,91.372
122,122,Extension,162,0.461276448,-1.202664157,0.287013673,-1.830057877,0.22256126523982464,-1.8333348737959754,162,92.665
123,123,Extension,165,0.3502929,-1.214684668,0.010524496,-1.884444741,0.4395943331686058,-1.8093618599201877,165,93.958
124,124,Extension,166,0.858694,-0.947009431,1.063960555,-1.594905329,0.6867684286159643,-1.6608558117291605,166,94.389
125,125,Extension,168,0.888111626,-0.633964722,0.861929766,-1.286052192,0.7492216298326198,-1.464849838435586,168,95.251
126,126,Extension,169,0.557878741,-0.882959543,0.344307415,-1.478017319,0.6287852633647071,-1.160172906768603,169,95.682
127,127,Extension,171,0.294457247,-0.481242583,0.499723802,-0.688640089,0.4995491700523237,-0.6884561700048986,171,96.544
