,State,Angle,Range_0,Range_1,New_Range_0,New_Range_1
86,Extension,87,-0.668021809,-2.524166893,0.00560608,-3.126827387
87,Extension,90,-0.77935466,-2.71569717,-0.111681866,-3.327005061
88,Extension,93,-0.504379374,-2.678649681,0.089438722,-3.277457941
89,Extension,96,-0.527476587,-2.720495413,-0.153633214,-3.367749812
90,Extension,97,-0.335910046,-2.281509607,-0.097759199,-2.852391779
91,Extension,99,-0.847922699,-3.250940491,-0.147879706,-3.749315043
92,Extension,100,-0.348663805,-2.450904748,-0.003232096,-2.988666772
93,Extension,103,-0.991788615,-2.539665835,-0.482742944,-3.161681216
94,Extension,106,-0.949784951,-2.490714728,0.148351246,-3.110209551
95,Extension,109,-0.434730438,-2.832497304,-0.051317396,-3.468636729
96,Extension,110,-0.344618978,-1.946273457,-0.111303745,-2.257597098
97,Extension,112,-0.445533358,-3.239028323,-0.080214424,-3.961046992
98,Extension,113,-0.411167037,-2.307856521,-0.00387471,-2.900151686
99,Extension,116,-0.603959921,-2.288772015,-0.278918674,-2.895875448
100,Extension,119,-0.492370594,-2.284160163,-0.79966306,-2.910013226
101,Extension,120,-0.337767209,-1.628893524,-0.785630768,-1.962606277
102,Extension,122,-0.558616389,-3.280171003,-1.15975618,-3.896863753
103,Extension,123,-0.298636844,-2.044359612,-0.725041052,-2.625621601
104,Extension,126,-0.271127103,-2.07818404,-0.714875582,-2.694165187
105,Extension,129,-0.508099186,-2.036027435,-1.256059082,-2.670614335
106,Extension,130,-0.277150624,-0.703176788,-0.792050035,-1.355264258
107,Extension,132,0.170032959,-2.781769717,-0.324133928,-3.396691773
108,Extension,133,-0.26670441,-1.678025246,-0.790354417,-2.299545426
109,Extension,136,0.166195956,-1.862893757,-0.219492637,-2.584135944
110,Extension,139,0.022930763,-1.793046566,-0.34537992,-2.536239396
111,Extension,142,-0.204717261,-2.45398572,-0.962966442,-3.173871611
112,Extension,143,-0.45762233,-1.251428627,-1.734552774,-1.930466969
113,Extension,145,0.315105981,-2.039504092,-0.224521976,-2.33783449
114,Extension,146,0.487620872,-1.614075579,0.240626368,-2.3656772
115,Extension,149,0.243023865,-1.558123148,-0.994412035,-2.275807139
116,Extension,152,0.634018504,-1.640753195,0.286285013,-2.34592563
117,Extension,153,0.766346624,-0.979476166,0.559065042,-1.711765712
118,Extension,155,0.806106227,-2.022208285,0.396005195,-2.578179478
119,Extension,156,0.434518738,-1.288602712,-0.238449764,-1.960073709
120,Extension,158,0.713489158,-0.553562128,0.051210414,-1.205649598
121,Extension,159,0.600218562,-1.346935475,0.235769022,-1.991514131
122,Extension,162,0.461276448,-1.202664157,0.287013673,-1.830057877
123,Extension,165,0.3502929,-1.214684668,0.010524496,-1.884444741
124,Extension,166,0.858694,-0.947009431,1.063960555,-1.594905329
125,Extension,168,0.888111626,-0.633964722,0.861929766,-1.286052192
126,Extension,169,0.557878741,-0.882959543,0.344307415,-1.478017319
127,Extension,171,0.294457247,-0.481242583,0.499723802,-0.688640089
