Time,State,Repeat,Weight,Angle,Current
13:02.8,Extension,2,-247.62,93.36,-234.03
13:03.0,Extension,2,-272.76,96.67,244.79
13:03.1,Extension,2,-275.97,99.95,320.11
13:03.2,Extension,2,-283.11,103.14,131.81
13:03.3,Extension,2,-297.2,106.42,287.83
13:03.4,Extension,2,-327.97,109.67,317.42
13:03.6,Extension,2,-359.99,112.93,833.9
13:03.7,Extension,2,-386.99,116.21,360.46
13:03.8,Extension,2,-418.54,119.55,406.19
13:03.9,Extension,2,-428.04,122.86,355.08
13:04.0,Extension,2,-448.71,126.14,347.01
13:04.2,Extension,2,-467.53,129.45,373.91
13:04.3,Extension,2,-501.57,132.76,360.46
13:04.4,Extension,2,-539.1,136.13,365.84
13:04.5,Extension,2,-532.38,139.44,398.12
13:04.6,Extension,2,-520.58,142.78,-43.04
13:04.8,Extension,2,-510.29,146.09,347.01
13:04.9,Extension,2,-507.91,149.43,-295.9
13:05.0,Extension,2,-507.53,152.74,798.93
13:05.1,Extension,2,-496.75,156.02,182.92
13:05.2,Extension,2,-492.72,159.33,516.48
13:05.4,Extension,2,-484.75,162.67,303.97
13:05.5,Extension,2,-455.4,165.95,306.66
13:05.6,Extension,2,-455.04,169.32,250.17
13:05.7,Extension,2,-429.5,172.57,309.35
13:05.8,Extension,2,-387.34,175.86,707.47
13:06.0,Extension,2,-423.66,179.14,360.46
13:06.1,Extension,2,-479.91,179.78,104.91
13:06.2,Extension,2,-492.65,179.78,107.6
13:06.3,Extension,2,-486.5,179.78,99.53
13:06.4,Extension,2,-479.98,179.78,115.67
13:06.6,Extension,2,-478.79,179.81,110.29
13:06.7,Extension,2,-473.81,179.81,115.67
13:06.8,Extension,2,-468.81,179.81,115.67
13:06.9,Extension,2,-464.61,179.81,115.67
13:07.0,Extension,2,-459.84,179.78,96.84
13:07.2,Extension,2,-465.73,179.81,99.53
13:07.3,Extension,2,-466.2,179.81,110.29
13:07.4,Extension,2,-465.28,179.78,107.6
13:07.5,Extension,2,-459.64,179.81,104.91
13:07.6,Extension,2,-456.78,179.81,96.84
13:07.8,Flexion,3,-458.09,179.78,-505.72
13:07.9,Flexion,3,-455.48,176.65,-223.27
13:08.0,Flexion,3,-424.42,173.28,-78.01
13:08.1,Flexion,3,-296.18,170,-26.9
13:08.3,Flexion,3,-272.91,166.74,-34.97
13:08.4,Flexion,3,-264.61,163.49,-244.79
13:08.5,Flexion,3,-267.86,160.18,-37.66
13:08.6,Flexion,3,-282.54,156.87,-188.3
13:08.7,Flexion,3,-298.77,153.62,-13.45
13:08.8,Flexion,3,-306.06,150.31,-129.12
13:09.0,Flexion,3,-294.61,147,618.7
13:09.1,Flexion,3,-288.11,143.72,-32.28
13:09.2,Flexion,3,-269.11,140.38,-48.42
13:09.3,Flexion,3,-259.89,137.1,-32.28
13:09.4,Flexion,3,-247.29,133.79,150.64
13:09.6,Flexion,3,-233.71,130.47,-37.66
13:09.7,Flexion,3,-227.55,127.16,-53.8
13:09.8,Flexion,3,-217.36,123.85,-75.32
13:09.9,Flexion,3,-179.35,120.6,-69.94
13:10.0,Flexion,3,-159.42,117.26,-64.56
13:10.2,Flexion,3,-126.41,113.98,-667.12
13:10.3,Flexion,3,-112.85,110.7,-83.39
13:10.4,Flexion,3,-106.57,107.48,-102.22
13:10.5,Flexion,3,-83.43,104.22,-309.35
13:10.7,Flexion,3,-61.05,100.94,-131.81
13:10.8,Flexion,3,-38.54,97.69,-118.36
13:10.9,Flexion,3,-3.1,94.41,-134.5
13:11.0,Flexion,3,-6.16,91.19,-158.71
13:11.1,Flexion,3,-10.7,87.91,-129.12
13:11.2,Flexion,3,10.06,84.62,-954.95
